generation,best,average,median,std
0,-0.7658963585434173,-0.7593271708683474,-0.7591876750700279,0.003911065326040774
1,-0.7658963585434173,-0.7632061624649857,-0.7642016806722689,0.0026374238712008964
2,-0.7658963585434173,-0.7648492997198879,-0.7658753501400559,0.0021138839892139165
3,-0.7658963585434173,-0.7655277310924368,-0.7658963585434173,0.001612862776077159
4,-0.7658963585434173,-0.7652596638655461,-0.7658963585434173,0.002166608651734064
5,-0.7658963585434173,-0.765359943977591,-0.7658963585434173,0.001937385901350145
6,-0.7658963585434173,-0.7654946778711483,-0.7658963585434173,0.0017245564791518423
7,-0.7658963585434173,-0.7654266106442575,-0.7658963585434173,0.001644899902742029
8,-0.7658963585434173,-0.7655282913165266,-0.7658963585434173,0.0018107115977437924
9,-0.7658963585434173,-0.7655282913165266,-0.7658963585434173,0.00134984956834112
10,-0.7658963585434173,-0.7654938375350139,-0.7658963585434173,0.0016277204875753963
11,-0.7658963585434173,-0.7657957983193276,-0.7658963585434173,0.0005209759485087487
12,-0.7658963585434173,-0.7655616246498599,-0.7658963585434173,0.0016398550757538346
13,-0.7658963585434173,-0.7651938375350137,-0.7658963585434173,0.0025056525165113416
14,-0.7658963585434173,-0.7652266106442576,-0.7658963585434173,0.002343260212994199
15,-0.767563025210084,-0.7655946778711484,-0.7658963585434173,0.0013686167016527936
16,-0.767563025210084,-0.7652257703081231,-0.7658963585434173,0.002320603851965659
17,-0.767563025210084,-0.7655268907563024,-0.7658963585434173,0.002124379590948599
18,-0.767563025210084,-0.7660291316526611,-0.7658963585434173,0.0017932689976766537
19,-0.767563025210084,-0.7666957983193278,-0.767563025210084,0.0014258964355124075
20,-0.767563025210084,-0.7666932773109242,-0.767563025210084,0.002977815341586073
21,-0.767563025210084,-0.7671952380952383,-0.767563025210084,0.0016830254534408002
22,-0.767563025210084,-0.7669607843137256,-0.767563025210084,0.0024524701354909128
23,-0.767563025210084,-0.7668935574229693,-0.767563025210084,0.0023661361381804536
24,-0.767563025210084,-0.7673288515406163,-0.767563025210084,0.0016392156862745136
25,-0.767563025210084,-0.76716162464986,-0.767563025210084,0.00199427109486677
26,-0.767563025210084,-0.7667268907563026,-0.767563025210084,0.0030872556993580672
27,-0.767563025210084,-0.7674963585434174,-0.767563025210084,0.0004666666666666774
28,-0.767563025210084,-0.7665268907563025,-0.767563025210084,0.0032207580734865925
29,-0.767563025210084,-0.7671949579831935,-0.767563025210084,0.0018708193407194814
30,-0.767563025210084,-0.7669271708683474,-0.767563025210084,0.0026537863023570235
31,-0.767563025210084,-0.76639243697479,-0.767563025210084,0.00322934091591738
32,-0.767563025210084,-0.7663907563025211,-0.767563025210084,0.0032148361269948612
33,-0.767563025210084,-0.7667260504201682,-0.767563025210084,0.002682791384828966
34,-0.767563025210084,-0.7675630252100841,-0.767563025210084,1.1102230246251565e-16
35,-0.767563025210084,-0.7667602240896358,-0.767563025210084,0.002783146027736431
36,-0.767563025210084,-0.7671952380952383,-0.767563025210084,0.0018698707667431954
37,-0.767563025210084,-0.7667927170868347,-0.767563025210084,0.002442454960586551
38,-0.767563025210084,-0.7670607843137255,-0.767563025210084,0.002070520726129755
