generation,evaluation,average,max,std
0,50,6.919189176124299,6.919189176124299,0.0
1,51,1.0574938637533196,1.0574938637533196,0.0
2,52,5.798349116612746,5.798349116612746,0.0
3,53,3.897966496319167,3.897966496319167,0.0
4,54,5.770105045869295,5.770105045869295,0.0
5,55,5.438110360390795,5.438110360390795,0.0
6,56,4.740841289347683,4.740841289347683,0.0
7,57,7.18619815621257,7.18619815621257,0.0
8,58,6.243720612720048,6.243720612720048,0.0
9,59,4.06574264404913,4.06574264404913,0.0
10,60,5.732099438143965,5.732099438143965,0.0
11,61,7.5912030003841275,7.5912030003841275,0.0
12,62,9.629671140312684,9.629671140312684,0.0
13,63,5.592391173985564,5.592391173985564,0.0
14,64,8.182211424361174,8.182211424361174,0.0
15,65,1.3432485264172283,1.3432485264172283,0.0
16,66,1.3500335608635432,1.3500335608635432,0.0
17,67,8.965215030998479,8.965215030998479,0.0
18,68,4.9870551997185935,4.9870551997185935,0.0
19,69,7.801573567624705,7.801573567624705,0.0
20,70,7.54666381559794,7.54666381559794,0.0
21,71,4.181511287643506,4.181511287643506,0.0
22,72,3.0338698866533287,3.0338698866533287,0.0
23,73,1.4116163660513796,1.4116163660513796,0.0
24,74,3.763535539207519,3.763535539207519,0.0
25,75,1.1049369526432844,1.1049369526432844,0.0
26,76,4.371656137134384,4.371656137134384,0.0
27,77,0.5305486479290729,0.5305486479290729,0.0
28,78,3.526896559905869,3.526896559905869,0.0
29,79,2.765124725281897,2.765124725281897,0.0
30,80,0.7931652581387713,0.7931652581387713,0.0
31,81,7.520056098870675,7.520056098870675,0.0
32,82,8.091348356690169,8.091348356690169,0.0
33,83,5.5146471211615875,5.5146471211615875,0.0
34,84,7.2614245696339,7.2614245696339,0.0
35,85,3.5067940635730954,3.5067940635730954,0.0
36,86,4.480214136928938,4.480214136928938,0.0
37,87,0.8150066035698638,0.8150066035698638,0.0
38,88,3.064501406433639,3.064501406433639,0.0
39,89,6.496506348789995,6.496506348789995,0.0
40,90,1.155106264630875,1.155106264630875,0.0
41,91,2.43303690309202,2.43303690309202,0.0
42,92,2.7354920122683892,2.7354920122683892,0.0
43,93,1.0738980238777875,1.0738980238777875,0.0
44,94,5.918165786342907,5.918165786342907,0.0
45,95,3.7827696713462284,3.7827696713462284,0.0
46,96,1.4771642212110967,1.4771642212110967,0.0
47,97,5.108051272204212,5.108051272204212,0.0
48,98,4.599562836380645,4.599562836380645,0.0
49,99,3.7976569525000325,3.7976569525000325,0.0
